OCCUPATION,AI_EXPOSURE_SCORE
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",37
"Sawing Machine Setters, Operators, and Tenders, Wood",59
"School Bus Monitors",58
"School Psychologists",30
"Secondary School Teachers, Except Special and Career/Technical Education",37
"Secretaries and Administrative Assistants",53
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",73
"Securities, Commodities, and Financial Services Sales Agents",39
"Security and Fire Alarm Systems Installers",61
"Security Guards",60
"Self-Enrichment Teachers",37
"Semiconductor Processing Technicians",61
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",66
"Septic Tank Servicers and Sewer Pipe Cleaners",51
"Service Unit Operators, Oil and Gas",58
"Set and Exhibit Designers",28
"Sewers, Hand",66
"Sewing Machine Operators",67
"Shampooers",62
"Sheet Metal Workers",50
"Ship Engineers",33
"Shipping, Receiving, and Inventory Clerks",82
"Shoe and Leather Workers and Repairers",45
"Shoe Machine Operators and Tenders",58
"Shuttle Drivers and Chauffeurs",48
"Signal and Track Switch Repairers",56
"Skincare Specialists",46
"Slaughterers and Meat Packers",47
"Social and Community Service Managers",40
"Social and Human Service Assistants",47
"Social Science Research Assistants",58
"Social Sciences Teachers, Postsecondary, All Other",34
"Social Scientists and Related Workers",21
"Social Scientists and Related Workers, All Other",32
"Social Work Teachers, Postsecondary",49
"Social Workers, All Other",22
"Sociologists",42
"Sociology Teachers, Postsecondary",50
"Software Developers",34
"Software Quality Assurance Analysts and Testers",44
"Soil and Plant Scientists",34
"Solar Photovoltaic Installers",47
"Sound Engineering Technicians",46
"Special Education Teachers, All Other",39
"Special Education Teachers, Kindergarten and Elementary School",25
"Special Education Teachers, Middle School",37
"Special Education Teachers, Preschool",29
"Special Education Teachers, Secondary School",37
"Special Effects Artists and Animators",25
"Speech-Language Pathologists",33
"Stationary Engineers and Boiler Operators",60
"Statistical Assistants",67
"Statisticians",41
"Stockers and Order Fillers",60
"Stonemasons",42
"Structural Iron and Steel Workers",54
"Structural Metal Fabricators and Fitters",53
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",23
"Substitute Teachers, Short-Term",45
"Subway and Streetcar Operators",59
"Supervisors of Building and Grounds Cleaning and Maintenance Workers",36
"Supervisors of Construction and Extraction Workers",33
"Supervisors of Farming, Fishing, and Forestry Workers",35
"Supervisors of Food Preparation and Serving Workers",43
"Supervisors of Installation, Maintenance, and Repair Workers",33
"Supervisors of Office and Administrative Support Workers",23
"Supervisors of Personal Care and Service Workers",36
"Supervisors of Production Workers",34
"Supervisors of Protective Service Workers",33
"Supervisors of Sales Workers",40
"Supervisors of Transportation and Material Moving Workers",35
"Surgeons, All Other",35
"Surgical Assistants",36
"Surgical Technologists",44
"Survey Researchers",51
"Surveying and Mapping Technicians",67
"Surveyors",50
"Switchboard Operators, Including Answering Service",92
"Tailors, Dressmakers, and Custom Sewers",55
"Tank Car, Truck, and Ship Loaders",55
"Tapers",45
"Tax Examiners and Collectors, and Revenue Agents",74
"Tax Preparers",72
"Taxi Drivers",61
"Teachers and Instructors, All Other",23
"Teaching Assistants, Except Postsecondary",43
"Teaching Assistants, Postsecondary",56
"Technical Writers",64
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49
"Telecommunications Line Installers and Repairers",49
"Telemarketers",96
"Telephone Operators",89
"Tellers",86
"Terrazzo Workers and Finishers",61
"Textile Bleaching and Dyeing Machine Operators and Tenders",73
"Textile Cutting Machine Setters, Operators, and Tenders",73
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",67
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",72
"Textile, Apparel, and Furnishings Workers",40
"Textile, Apparel, and Furnishings Workers, All Other",61
"Therapists, All Other",35
"Tile and Stone Setters",43
"Timing Device Assemblers and Adjusters",65
"Tire Builders",55
"Tire Repairers and Changers",50
"Title Examiners, Abstractors, and Searchers",71
"Tool and Die Makers",66
"Tool Grinders, Filers, and Sharpeners",65
"Top Executives",31
"Tour and Travel Guides",52
"Traffic Technicians",62
"Training and Development Managers",32
"Training and Development Specialists",36
"Transit and Railroad Police",56
"Transportation Inspectors",63
"Transportation Security Screeners",53
"Transportation Workers, All Other",37
"Transportation, Storage, and Distribution Managers",51
"Travel Agents",48
"Tree Trimmers and Pruners",58
"Tutors",50
"Umpires, Referees, and Other Sports Officials",75
"Underground Mining Machine Operators, All Other",46
"Upholsterers",43
"Urban and Regional Planners",41
"Ushers, Lobby Attendants, and Ticket Takers",66
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",35
"Veterinarians",34
"Veterinary Assistants and Laboratory Animal Caretakers",68
"Veterinary Technologists and Technicians",38
"Waiters and Waitresses",62
"Watch and Clock Repairers",64
"Water and Wastewater Treatment Plant and System Operators",62
"Water Transportation Workers",34
"Web and Digital Interface Designers",46
"Web Developers",40
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",70
"Welders, Cutters, Solderers, and Brazers",62
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",62
"Wellhead Pumpers",60
"Wind Turbine Service Technicians",46
"Woodworkers",38
"Woodworkers, All Other",41
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",63
"Word Processors and Typists",87
"Writers and Authors",38
"Zoologists and Wildlife Biologists",50
