OCCUPATION,AI_EXPOSURE_SCORE
"Court, Municipal, and License Clerks",59
"Craft Artists",36
"Crane and Tower Operators",59
"Credit Analysts",76
"Credit Authorizers, Checkers, and Clerks",80
"Credit Counselors",38
"Crematory Operators",46
"Criminal Justice and Law Enforcement Teachers, Postsecondary",55
"Crossing Guards and Flaggers",47
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",68
"Curators",32
"Customer Service Representatives",64
"Cutters and Trimmers, Hand",77
"Cutting and Slicing Machine Setters, Operators, and Tenders",63
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",70
"Dancers",40
"Data Entry Keyers",95
"Data Scientists",45
"Database Administrators",37
"Database Architects",40
"Demonstrators and Product Promoters",57
"Dental Assistants",53
"Dental Hygienists",57
"Dental Laboratory Technicians",52
"Dentists, All Other Specialists",13
"Dentists, General",24
"Dermatologists",47
"Derrick Operators, Oil and Gas",55
"Designers, All Other",37
"Desktop Publishers",56
"Detectives and Criminal Investigators",48
"Diagnostic Medical Sonographers",47
"Dietetic Technicians",47
"Dietitians and Nutritionists",34
"Dining Room and Cafeteria Attendants and Bartender Helpers",57
"Directors, Religious Activities and Education",30
"Disc Jockeys, Except Radio",47
"Dishwashers",47
"Dispatchers, Except Police, Fire, and Ambulance",66
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",84
"Drafters, All Other",54
"Drafters, Engineering Technicians, and Mapping Technicians",34
"Dredge Operators",55
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",79
"Driver/Sales Workers",70
"Drywall and Ceiling Tile Installers",54
"Earth Drillers, Except Oil and Gas",58
"Economics Teachers, Postsecondary",51
"Economists",48
"Editors",39
"Education Administrators, All Other",21
"Education Administrators, Kindergarten through Secondary",31
"Education Administrators, Postsecondary",34
"Education and Childcare Administrators, Preschool and Daycare",45
"Education Teachers, Postsecondary",55
"Educational Instruction and Library Workers, All Other",36
"Educational, Guidance, and Career Counselors and Advisors",32
"Electric Motor, Power Tool, and Related Repairers",51
"Electrical and Electronic Engineering Technologists and Technicians",59
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",35
"Electrical and Electronics Drafters",65
"Electrical and Electronics Installers and Repairers, Transportation Equipment",59
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",48
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",44
"Electrical Engineers",34
"Electrical Power-Line Installers and Repairers",28
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",53
"Electricians",32
"Electro-Mechanical and Mechatronics Technologists and Technicians",57
"Electronic Equipment Installers and Repairers, Motor Vehicles",65
"Electronics Engineers, Except Computer",29
"Elementary School Teachers, Except Special Education",34
"Elevator and Escalator Installers and Repairers",39
"Eligibility Interviewers, Government Programs",66
"Embalmers",54
"Emergency Management Directors",35
"Emergency Medical Technicians",40
"Emergency Medicine Physicians",54
"Engine and Other Machine Assemblers",74
"Engineering Teachers, Postsecondary",52
"Engineering Technologists and Technicians, Except Drafters, All Other",42
"Engineers",20
"Engineers, All Other",30
"English Language and Literature Teachers, Postsecondary",47
"Entertainers and Performers, Sports and Related Workers",35
"Entertainers and Performers, Sports and Related Workers, All Other",35
"Entertainment and Recreation Managers, Except Gambling",35
"Entertainment Attendants and Related Workers",37
"Entertainment Attendants and Related Workers, All Other",38
"Environmental Engineering Technologists and Technicians",46
"Environmental Engineers",33
"Environmental Science and Protection Technicians, Including Health",67
"Environmental Science Teachers, Postsecondary",54
"Environmental Scientists and Specialists, Including Health",35
"Epidemiologists",42
"Etchers and Engravers",64
"Excavating and Loading Machine and Dragline Operators, Surface Mining",57
"Executive Secretaries and Executive Administrative Assistants",69
"Exercise Physiologists",36
"Exercise Trainers and Group Fitness Instructors",40
"Explosives Workers, Ordnance Handling Experts, and Blasters",46
"Extraction Workers",29
"Extraction Workers, All Other",36
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",55
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",64
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",64
"Fabric and Apparel Patternmakers",33
"Facilities Managers",50
"Fallers",57
"Family and Consumer Sciences Teachers, Postsecondary",54
"Family Medicine Physicians",46
"Farm and Home Management Educators",47
"Farm Equipment Mechanics and Service Technicians",54
"Farm Labor Contractors",59
"Farmers, Ranchers, and Other Agricultural Managers",38
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",63
"Farmworkers, Farm, Ranch, and Aquacultural Animals",62
"Fashion Designers",23
"Fast Food and Counter Workers",64
"Fence Erectors",56
"Fiberglass Laminators and Fabricators",60
"File Clerks",87
"Film and Video Editors",48
"Financial and Investment Analysts",39
"Financial Clerks",43
"Financial Clerks, All Other",36
"Financial Examiners",43
"Financial Managers",34
"Financial Risk Specialists",54
"Financial Specialists",31
"Financial Specialists, All Other",43
"Fine Artists, Including Painters, Sculptors, and Illustrators",36
"Fire Inspectors and Investigators",51
"Firefighters",32
"Firefighting and Prevention Workers",35
"First-Line Supervisors of Construction Trades and Extraction Workers",40
"First-Line Supervisors of Correctional Officers",39
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",47
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54
"First-Line Supervisors of Firefighting and Prevention Workers",31
"First-Line Supervisors of Food Preparation and Serving Workers",56
"First-Line Supervisors of Gambling Services Workers",44
"First-Line Supervisors of Housekeeping and Janitorial Workers",67
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",53
"First-Line Supervisors of Mechanics, Installers, and Repairers",34
"First-Line Supervisors of Non-Retail Sales Workers",44
"First-Line Supervisors of Office and Administrative Support Workers",38
"First-Line Supervisors of Personal Service Workers",39
"First-Line Supervisors of Police and Detectives",38
"First-Line Supervisors of Production and Operating Workers",40
"First-Line Supervisors of Protective Service Workers, All Other",34
"First-Line Supervisors of Retail Sales Workers",55
"First-Line Supervisors of Security Workers",51
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",25
"Fish and Game Wardens",40
"Flight Attendants",45
"Floor Layers, Except Carpet, Wood, and Hard Tiles",47
"Floor Sanders and Finishers",54
"Floral Designers",45
"Food and Beverage Serving Workers",37
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",64
"Food Batchmakers",59
"Food Cooking Machine Operators and Tenders",52
"Food Preparation and Serving Related Workers, All Other",37
"Food Preparation Workers",57
"Food Processing Workers",37
"Food Processing Workers, All Other",52
"Food Science Technicians",72
"Food Scientists and Technologists",41
"Food Servers, Nonrestaurant",60
"Food Service Managers",40
"Foreign Language and Literature Teachers, Postsecondary",55
"Forensic Science Technicians",40
"Forest and Conservation Technicians",51
"Forest and Conservation Workers",62
"Forest Fire Inspectors and Prevention Specialists",39
"Forest, Conservation, and Logging Workers",39
"Foresters",32
"Forestry and Conservation Science Teachers, Postsecondary",47
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",75
"Foundry Mold and Coremakers",53
"Fundraisers",42
"Fundraising Managers",24
"Funeral Attendants",41
"Funeral Home Managers",45
"Funeral Service Workers",37
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",48
"Furniture Finishers",50
"Gambling and Sports Book Writers and Runners",74
"Gambling Cage Workers",59
"Gambling Change Persons and Booth Cashiers",74
"Gambling Dealers",76
"Gambling Managers",38
"Gambling Service Workers, All Other",53
"Gambling Surveillance Officers and Gambling Investigators",70
"Gas Compressor and Gas Pumping Station Operators",63
"Gas Plant Operators",63
"General and Operations Managers",39
"General Internal Medicine Physicians",39
"Genetic Counselors",31
"Geographers",32
"Geography Teachers, Postsecondary",54
"Geological Technicians, Except Hydrologic Technicians",65
"Geoscientists, Except Hydrologists and Geographers",52
"Glaziers",44
"Graders and Sorters, Agricultural Products",64
"Graphic Designers",36
"Grinding and Polishing Workers, Hand",86
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",69
"Grounds Maintenance Workers",37
"Grounds Maintenance Workers, All Other",53
"Hairdressers, Hairstylists, and Cosmetologists",42
"Hazardous Materials Removal Workers",45
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",34
"Health Education Specialists",36
"Health Information Technologists and Medical Registrars",51
"Health Specialties Teachers, Postsecondary",52
"Health Technologists and Technicians",35
"Health Technologists and Technicians, All Other",40
"Healthcare Diagnosing or Treating Practitioners",31
"Healthcare Diagnosing or Treating Practitioners, All Other",48
"Healthcare Practitioners and Technical Workers, All Other",38
"Healthcare Social Workers",35
"Healthcare Support Workers, All Other",65
"Hearing Aid Specialists",32
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",74
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",52
"Heavy and Tractor-Trailer Truck Drivers",58
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",63
"Helpers--Carpenters",56
"Helpers--Electricians",51
"Helpers--Extraction Workers",41
"Helpers--Installation, Maintenance, and Repair Workers",51
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",57
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",46
"Helpers--Production Workers",64
"Helpers--Roofers",50
"Helpers, Construction Trades",37
"Helpers, Construction Trades, All Other",49
"Highway Maintenance Workers",57
"Historians",54
"History Teachers, Postsecondary",54
"Hoist and Winch Operators",48
"Home Appliance Repairers",53
"Home Health and Personal Care Aides",47
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",47
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",69
"Hotel, Motel, and Resort Desk Clerks",70
"Human Resources Assistants, Except Payroll and Timekeeping",79
"Human Resources Managers",28
"Human Resources Specialists",46
"Hydrologic Technicians",65
"Hydrologists",33
"Industrial Engineering Technologists and Technicians",37
"Industrial Engineers",34
"Industrial Machinery Mechanics",54
"Industrial Production Managers",33
"Industrial Truck and Tractor Operators",57
"Industrial-Organizational Psychologists",27
"Information and Record Clerks",40
"Information and Record Clerks, All Other",36
"Information Security Analysts",42
"Inspectors, Testers, Sorters, Samplers, and Weighers",68
"Installation, Maintenance, and Repair Workers, All Other",62
