REFERENCE_DATE,DATA_YEAR,ECONOMIC_SECTION_CODE,ECONOMIC_SECTION,EMPLOYMENT_COUNT
2023-12-31,2023,WZ08-H,Verkehr und Lagerei,1965398
2023-12-31,2023,WZ08-I,Gastgewerbe,1069088
2023-12-31,2023,WZ08-J,Information und Kommunikation,1347774
2023-12-31,2023,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,981708
2023-12-31,2023,WZ08-L,Grundstücks- und Wohnungswesen,309000
2023-12-31,2023,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2583247
2023-12-31,2023,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2270373
2023-12-31,2023,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2070712
2023-12-31,2023,WZ08-P,Erziehung und Unterricht,1459238
2023-12-31,2023,WZ08-Q,Gesundheits- und Sozialwesen,5400000
2023-12-31,2023,WZ08-R,"Kunst, Unterhaltung und Erholung",306822
2023-12-31,2023,WZ08-S,Erbringung von sonstigen Dienstleistungen,856939
2023-12-31,2023,WZ08-T,Private Haushalte,44163
2023-12-31,2023,WZ08-U,Exterritoriale Organisationen und Körperschaften,16314
2024-03-31,2024,WZ08-A,"Land- und Forstwirtschaft, Fischerei",240580
2024-03-31,2024,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,57760
2024-03-31,2024,WZ08-C,Verarbeitendes Gewerbe,6773201
2024-03-31,2024,WZ08-D,Energieversorgung,275918
2024-03-31,2024,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",277591
2024-03-31,2024,WZ08-F,Baugewerbe,1975775
2024-03-31,2024,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4563886
2024-03-31,2024,WZ08-H,Verkehr und Lagerei,1956912
2024-03-31,2024,WZ08-I,Gastgewerbe,1080476
2024-03-31,2024,WZ08-J,Information und Kommunikation,1345628
2024-03-31,2024,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,979038
2024-03-31,2024,WZ08-L,Grundstücks- und Wohnungswesen,308892
2024-03-31,2024,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2584579
2024-03-31,2024,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2238640
2024-03-31,2024,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2072095
